mof,1s,2s,3s,4s,5s,6s,2p,3p,4p,5p,3d,4d,5d,4f,metal,nlinker,linker1smi,linker2smi,temperature,time,oxidation_state,solvent1,solvent2,solvent3, additive
OFODET_clean,2,2,2,2,0,0,6,6,0,0,5,0,0,0,Mn,1,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,55,48,2,962,6228,174,313
XAVKIR_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(NC(=O)c2ccc3cc(NC(=O)c4cncc(C(=O)Nc5ccc6cc(C(=O)Nc7cc(C(=O)O)cc(C(=O)O)c7)ccc6c5)c4)ccc3c2)cc(C(=O)O)c1,O=C(O)c1cc(NC(=O)c2ccc3cc(NC(=O)c4cncc(C(=O)Nc5ccc6cc(C(=O)Nc7cc(C(=O)O)cc(C(=O)O)c7)ccc6c5)c4)ccc3c2)cc(C(=O)O)c1,55,120,2,962,6228,0000,313
LATPIG_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,c1nc[nH]n1,c1nc[nH]n1,60,24,2,962,0000,0000,0000
MOYYIJ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cccc(C(=O)O)c2)cc1,O=C(O)c1ccc(-c2cccc(C(=O)O)c2)cc1,60,48,2,962,6228,702,0000
OFOCUI_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,O=C(O)c1cc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,60,48,2,962,6228,702,944
RUFZID_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,Cc1n[nH]c(C)n1,Cc1n[nH]c(C)n1,60,72,2,962,6228,887,0000
OPENUT_clean,2,2,2,2,2,2,6,6,6,6,10,10,0,7,Eu,1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1cccc(C(=O)O)c1,60,96,3,962,6228,0000,0000
INOVEN_clean,2,2,2,2,2,2,6,6,6,6,10,10,1,0,Gd,1,O=C(O)c1ccc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(O)c1ccc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc1,60,168,3,6228,702,0000,0000
YEMJAC_clean,2,2,2,2,2,2,6,6,6,6,10,10,0,10,Dy,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,60,168,3,6228,702,0000,944
QUQFIS_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,65,24,2,962,6228,887,0000
QUQFOY_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,65,24,2,6228,702,0000,0000
YUGLES_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,O=C(O)c1cc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,65,24,2,6228,679,0000,944
EBUREA_clean,2,2,2,2,0,0,6,6,0,0,5,0,0,0,Mn,1,O=C(O)c1ccc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(O)c1ccc(NNc2cc(C(=O)O)cc(C(=O)O)c2)cc1,65,48,2,962,0000,0000,0000
LIKGUJ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C1OC(=O)C2=C3C1=CC1C(=O)OC(=O)C4=C1C3C1=C(C4)C(=O)OC(=O)C1=C2,O=C1OC(=O)C2=C3C1=CC1C(=O)OC(=O)C4=C1C3C1=C(C4)C(=O)OC(=O)C1=C2,65,48,2,962,6228,0000,313
QOZPIG_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)c1cc(C(=O)Nn2cnnc2)c(C(=O)O)cc1C(=O)Nn1cnnc1,O=C(O)c1cc(C(=O)Nn2cnnc2)c(C(=O)O)cc1C(=O)Nn1cnnc1,65,48,2,6228,0000,0000,28118
RUGZAW_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1,Nc1n[nH]c(N)n1,70,72,2,962,6228,702,0000
